brokertitle,type,price,beds,bath,propertysqft,formatted_address,latitude,longitude,log_price,price_segment,eda_type_clean,log_beds,beds_sqrt,beds_asinh,beds_binned,log_bath,bath_binned,area_missing,log_area,zip,borough,borough_Manhattan,borough_Brooklyn,borough_Queens,price_per_sqft,log_pps
Brokered by Winzone Realty Inc,Condo for sale,1175000,4,2,1495.512345,"16846 Powells Cove Blvd #21, Flushing, NY 11357, USA",40.7932921,-73.7951779,13.976778705560397,mid,Condo for sale,1.6094379124341003,2.0,2.0947125472611012,4,1.0986122886681098,2,1,7.3108925765069745,11357,Queens,False,False,True,785.6839189114149,6.667826539930664
Brokered by Island Group Realty Inc,House for sale,799000,4,2,1495.512345,"133-22 Centerville St, Ozone Park, NY 11417, USA",40.6757849,-73.8361627,13.591116224748411,entry,House for sale,1.6094379124341003,2.0,2.0947125472611012,4,1.0986122886681098,2,1,7.3108925765069745,11417,Queens,False,False,True,534.2650648597621,6.282762072538008
Brokered by COMPASS,Condo for sale,2950000,3,2,1709.0,"360 Furman St APT 337, Brooklyn, NY 11201, USA",40.6935342,-74.0002618,14.897315728316002,mid,Condo for sale,1.3862943611198906,1.7320508075688772,1.8184464592320668,3,1.0986122886681098,2,0,7.444248649496705,11201,Brooklyn,False,True,False,1726.1556465769456,7.454231199492082
NoBroker,Condo for sale,358000,3,1,1495.512345,"150-38 Union Tpke #11b, Flushing, NY 11367, USA",40.7187728,-73.811168,12.788288265382837,entry,Condo for sale,1.3862943611198906,1.7320508075688772,1.8184464592320668,3,0.6931471805599453,1,1,7.3108925765069745,11367,Queens,False,False,True,239.38284508109493,5.482232840219202
Brokered by Charles Rutenberg Realty Inc,Co-op for sale,189999,1,1,1495.512345,"83-55 Lefferts Blvd #5c, Jamaica, NY 11415, USA",40.704719,-73.832559,12.154774087970878,entry,Co-op for sale,0.6931471805599453,1.0,0.881373587019543,1,0.6931471805599453,1,1,7.3108925765069745,11415,Queens,False,False,True,127.04609268872333,4.852390298230137
NoBroker,Condo for sale,760000,1,1,700.0,"414 W 54th St #4e, New York, NY 10019, USA",40.766298,-73.9881994,13.541073712262515,entry,Condo for sale,0.6931471805599453,1.0,0.881373587019543,1,0.6931471805599453,1,0,6.55250788703459,10019,Manhattan,True,False,False,1085.7142857142858,6.990914005941988
Brokered by Exp Realty,Multi-family home for sale,675999,3,2,2070.0,"2067 Pitman Ave, Bronx, NY 10466, USA",40.8974036,-73.8427908,13.423946875734066,entry,Multi-family home for sale,1.3862943611198906,1.7320508075688772,1.8184464592320668,3,1.0986122886681098,2,0,7.635786861395585,10466,The Bronx,False,False,False,326.5695652173913,5.791700445396416
Brokered by One Realty Global Corp,Condo for sale,380000,3,1,393.0,"1548 72nd St #1, Brooklyn, NY 11228, USA",40.6184843,-74.0001507,12.84792653170257,entry,Condo for sale,1.3862943611198906,1.7320508075688772,1.8184464592320668,3,0.6931471805599453,1,0,5.976350909297934,11228,Brooklyn,False,True,False,966.9211195928754,6.875150595932358
Brokered by East Coast Realty Partners,Co-op for sale,379000,2,1,1495.512345,"9820 62nd Dr Apt 14l, Rego Park, NY 11374, USA",40.7334099,-73.85851,12.845291484064564,entry,Co-op for sale,1.0986122886681098,1.4142135623730951,1.4436354751788103,2,0.6931471805599453,1,1,7.3108925765069745,11374,Queens,False,False,True,253.42485554674573,5.539005529314233
Brokered by Coldwell Banker Warburg,Co-op for sale,995000,2,2,1495.512345,"164 E 72nd St #13c, New York, NY 10021, USA",40.7699248,-73.9617134,13.81049801614073,entry,Co-op for sale,1.0986122886681098,1.4142135623730951,1.4436354751788103,2,1.0986122886681098,2,1,7.3108925765069745,10021,Manhattan,True,False,False,665.3238292058364,6.501775782407662
